vader_score,vader_score_pos,vader_score_neg
0.9273,0.565,0.0
0.3291,0.649,0.0
0.6899,0.265,0.138
0.9609,0.416,0.0
0.9474,0.359,0.0
0.9001,0.649,0.0
-0.5719,0.0,0.0
0.9552,0.354,0.089
0.3919,0.392,0.074
0.5574,0.0,0.0
0.8225,0.487,0.0
0.4891,0.697,0.117
0.4005,0.0,0.0
0.9867,0.334,0.0
-0.9378,0.0,0.161
0.4215,0.787,0.136
0.9017,0.136,0.1
0.7506,0.275,0.0
0.9253,0.29,0.043
0.4939,0.615,0.0
0.8795,0.567,0.0
0.5106,0.216,0.0
0.9281,0.515,0.0
0.7623,0.372,0.086
0.8658,0.512,0.202
0.7351,0.587,0.0
0.5719,0.552,0.0
0.423,0.2,0.122
0.5719,0.552,0.0
0.9201,0.708,0.0
0.5423,0.215,0.233
0.0,0.0,0.0
0.5338,0.148,0.034
0.296,0.396,0.109
-0.2757,0.0,0.056
0.6676,0.172,0.089
-0.3875,0.0,0.467
0.964,0.329,0.0
0.9765,0.275,0.0
-0.1779,0.0,0.298
-0.9321,0.0,0.13
0.6121,0.263,0.251
0.1298,0.381,0.262
0.9638,0.764,0.0
0.2263,0.275,0.0
0.6486,0.0,0.029
0.9766,0.264,0.0
0.6249,0.804,0.0
0.0,0.545,0.0
0.0,0.0,0.0
-0.5951,0.082,0.0
0.4754,0.607,0.0
0.8669,0.578,0.0
0.9136,0.431,0.0
0.6124,0.42,0.052
0.6249,0.339,0.0
0.9228,0.356,0.0
0.8834,0.632,0.0
0.9829,0.365,0.042
0.8885,0.409,0.0
0.5574,0.0,0.0
-0.4023,0.0,0.197
0.34,0.674,0.242
0.5574,0.234,0.25
0.9685,0.368,0.0
0.5574,0.0,0.0
-0.296,0.0,0.524
0.9454,0.537,0.06
0.4215,0.237,0.0
-0.9784,0.0,0.195
0.8807,0.549,0.0
0.8885,0.565,0.229
0.6258,0.744,0.0
0.9509,0.548,0.0
0.8271,0.406,0.0
-0.8555,0.0,0.341
0.5574,0.0,0.0
0.6997,0.42,0.0
0.9001,0.55,0.0
-0.2748,0.456,0.327
0.0,0.0,0.0
0.9816,0.355,0.0
0.7391,0.404,0.0
0.8316,0.412,0.0
0.8126,0.712,0.0
0.9382,0.498,0.0
0.7777,0.241,0.0
0.0,0.0,0.0
0.0772,0.294,0.109
0.9134,0.408,0.0
0.8271,0.451,0.0
0.9493,0.652,0.0
0.8934,0.792,0.0
0.762,0.254,0.0
0.5574,0.0,0.0
0.7845,0.775,0.0
0.0,0.607,0.0
0.7939,0.257,0.0
-0.8176,0.0,0.407
0.6249,0.43,0.0
0.8748,0.25,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.4767,0.0,0.437
0.0,0.0,0.0
-0.6938,0.0,0.306
0.7984,0.167,0.0
-0.1027,0.385,0.42
0.6597,0.6,0.307
0.3612,0.672,0.116
0.7579,0.394,0.0
0.4215,0.762,0.065
0.9459,0.614,0.087
0.7178,0.607,0.0
0.9462,0.276,0.051
0.6124,0.667,0.0
0.9758,0.341,0.0
0.8639,0.338,0.067
-0.3612,0.0,0.556
-0.76,0.0,0.194
-0.34,0.326,0.209
0.0,0.0,0.0
-0.6466,0.333,0.23
-0.4767,0.0,0.279
-0.5719,0.0,0.0
0.8519,0.356,0.136
0.9081,0.609,0.0
0.6705,0.34,0.115
-0.3291,0.0,0.124
-0.6486,0.0,0.125
0.9062,0.37,0.0
0.6982,0.151,0.075
0.762,0.621,0.0
0.9325,0.373,0.0
0.0,0.0,0.0
-0.7096,0.0,0.145
0.0,0.0,0.0
0.9366,0.518,0.0
0.7774,0.483,0.091
0.875,0.712,0.0
0.836,0.344,0.0
0.0,0.0,0.0
0.8746,0.276,0.0
0.9884,0.34,0.097
0.7184,0.75,0.0
0.5945,0.42,0.11
0.7642,0.528,0.241
0.9509,0.402,0.275
0.1851,0.508,0.296
0.9459,0.282,0.0
0.0,0.516,0.0
0.7579,0.684,0.0
0.7506,0.569,0.0
0.7991,0.277,0.0
0.9022,0.415,0.0
0.8906,0.612,0.167
-0.4767,0.583,0.14
0.9635,0.331,0.0
-0.552,0.0,0.205
0.9552,0.191,0.0
0.7089,0.326,0.0
0.1991,0.112,0.0
0.7351,0.307,0.091
0.8051,0.319,0.0
0.7947,0.242,0.0
0.9214,0.425,0.017
0.3182,0.0,0.0
0.5647,0.51,0.0
0.8221,0.727,0.0
0.3675,0.487,0.204
0.6249,0.672,0.0
0.9814,0.423,0.128
-0.5719,0.0,0.0
0.4404,0.112,0.0
0.7624,0.11,0.0
-0.5719,0.0,0.0
0.2382,0.492,0.0
0.9413,0.789,0.0
0.6597,0.278,0.0
0.5859,0.0,0.0
0.9815,0.511,0.0
0.9681,0.303,0.094
0.4404,0.406,0.196
0.8519,0.459,0.215
0.9585,0.34,0.045
-0.5719,0.0,0.0
0.5859,0.792,0.0
0.8347,0.452,0.841
0.8883,0.633,0.0
0.743,0.13,0.0
0.8268,0.606,0.0
0.9643,0.645,0.166
0.8199,0.15,0.0
0.9812,0.37,0.0
-0.4767,0.0,0.608
0.9245,0.415,0.359
0.8555,0.537,0.0
0.8834,0.195,0.347
0.5574,0.0,0.0
0.7579,0.225,0.0
0.4019,0.0,0.0
0.6901,0.599,0.069
0.7574,0.452,0.0
0.6249,0.603,0.0
0.9072,0.483,0.0
0.9081,0.608,0.0
-0.5719,0.0,0.0
0.8074,0.552,0.0
0.0,0.0,0.0
0.9117,0.408,0.084
0.8396,0.219,0.0
0.7667,0.471,0.058
0.9131,0.527,0.0
0.0582,0.618,0.153
0.9171,0.267,0.112
0.9646,0.482,0.0
0.4541,0.268,0.064
0.5574,0.0,0.0
0.9069,0.247,0.0
0.7096,0.692,0.1
0.0,0.0,0.0
-0.5256,0.0,0.0
0.9042,0.848,0.0
0.7724,0.573,0.0
0.9666,0.472,0.0
0.9795,0.362,0.0
0.8769,0.508,0.0
0.86,0.544,0.0
0.0772,0.268,0.066
0.1027,0.492,0.33
0.891,0.368,0.0
0.6908,0.158,0.0
0.0,0.0,0.0
-0.0163,0.481,0.221
0.5413,0.636,0.0
0.9322,0.402,0.0
0.9716,0.335,0.0
0.7713,0.279,0.0
0.9687,0.315,0.0
0.5789,0.246,0.074
0.8555,0.592,0.0
0.8173,0.739,0.0
0.7351,0.643,0.099
0.743,0.767,0.089
0.0,0.0,0.0
0.0,0.75,0.0
0.902,0.283,0.03
0.7717,0.524,0.0
0.9334,0.317,0.0
0.9722,0.374,0.0
0.6697,0.33,0.119
0.8176,0.661,0.0
0.8481,0.339,0.0
0.4576,0.333,0.0
0.7178,0.32,0.0
-0.3182,0.0,0.095
0.3798,0.425,0.095
-0.1603,0.0,0.072
0.5719,0.27,0.0
-0.1725,0.388,0.126
0.5574,0.0,0.0
0.5559,0.398,0.211
0.9333,0.649,0.053
-0.387,0.0,0.096
0.875,0.615,0.0
0.1018,0.299,0.151
0.9522,0.485,0.0
-0.7096,0.0,0.196
-0.5719,0.0,0.0
0.8555,0.33,0.0
0.836,0.394,0.0
0.0,0.0,0.0
0.8715,0.293,0.053
0.9733,0.213,0.0
0.9694,0.207,0.0
0.9648,0.423,0.0
0.8225,0.559,0.0
-0.5859,0.0,0.49
-0.8555,0.062,0.123
0.7458,0.475,0.0
-0.2732,0.302,0.206
0.91,0.361,0.0
0.5574,0.0,0.0
0.8074,0.481,0.0
0.9795,0.242,0.192
0.4703,0.338,0.0
0.9516,0.302,0.0
0.9555,0.652,0.05
0.4404,0.492,0.0
0.9571,0.428,0.0
0.2372,0.844,0.225
-0.5984,0.737,0.271
0.2263,0.0,0.07
-0.2732,0.524,0.132
-0.9715,0.022,0.663
0.8865,0.226,0.169
0.9812,0.237,0.62
0.5563,0.152,0.0
0.6249,0.804,0.0
-0.5643,0.0,0.162
0.8176,0.796,0.0
0.9186,0.406,0.0
0.6846,0.191,0.109
0.5719,0.381,0.0
0.0,0.0,0.0
0.8402,0.5,0.0
-0.8748,0.0,0.344
0.9022,0.233,0.0
0.9538,0.695,0.0
0.8849,0.418,0.0
0.9309,0.697,0.239
0.9863,0.302,0.0
0.953,0.553,0.0
0.7906,0.467,0.0
0.9628,0.4,0.0
0.8689,0.674,0.0
0.0,0.577,0.0
-0.0736,0.275,0.164
0.2976,0.222,0.179
0.9503,0.127,0.0
0.0,0.0,0.0
0.128,0.615,0.114
0.4215,0.583,0.0
0.7269,0.753,0.0
0.5574,0.0,0.0
-0.7022,0.0,0.094
0.9447,0.533,0.0
0.9776,0.583,0.0
0.8979,0.58,0.0
0.8181,0.338,0.057
0.6249,0.717,0.0
0.5859,0.792,0.0
0.8689,0.388,0.0
0.9685,0.416,0.0
0.9899,0.565,0.0
-0.0772,0.0,0.109
0.5574,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.5499,0.075,0.154
0.6908,0.341,0.0
0.8402,0.403,0.0
-0.3865,0.0,0.466
0.8316,0.494,0.0
0.9842,0.406,0.0
0.684,0.17,0.08
-0.4019,0.0,0.0
-0.4767,0.0,0.383
0.3182,0.0,0.0
0.765,0.685,0.412
0.659,0.792,0.277
0.9635,0.305,0.0
0.9606,0.686,0.0
0.7506,0.737,0.0
0.8316,0.362,0.0
0.9923,0.314,0.0
0.902,0.347,0.0
0.9842,0.443,0.0
0.8944,0.486,0.0
0.9549,0.731,0.0
0.9738,0.145,0.0
0.8689,0.474,0.388
-0.296,0.516,1.0
0.1283,0.133,0.185
0.7351,0.623,0.0
-0.7184,0.0,0.059
-0.6705,0.0,0.151
0.0,0.0,0.0
0.6249,0.506,0.0
0.8176,0.241,0.0
0.1372,0.0,0.131
0.9295,0.195,0.0
0.8944,0.473,0.524
0.9659,0.7,0.333
0.9524,0.433,0.0
0.936,0.619,0.0
-0.3022,0.73,0.15
0.9917,0.322,0.0
0.7861,0.338,0.136
-0.5574,0.0,0.068
0.8826,0.4,0.0
0.9413,0.424,0.189
0.9618,0.628,0.0
0.4404,0.326,0.0
0.0,0.313,0.0
0.891,0.583,0.0
0.2023,0.643,0.0
-0.7832,0.0,0.154
0.9608,0.202,0.0
0.8923,0.335,0.0
0.8126,0.388,0.0
0.4939,0.39,0.0
0.4939,0.198,0.0
-0.3506,0.151,0.238
0.7264,0.386,0.0
0.9747,0.579,0.0
0.8849,0.674,0.0
0.891,0.226,0.0
0.9646,0.606,0.058
0.6808,0.483,0.0
0.3182,0.615,0.097
-0.2247,0.333,0.326
0.9695,0.251,0.0
0.9169,0.368,0.0
0.7184,0.667,0.0
0.0,0.0,0.0
0.91,0.345,0.0
0.0121,0.172,0.072
0.8779,0.552,0.0
0.977,0.394,0.0
0.9371,0.643,0.0
0.5106,0.355,0.0
0.9465,0.641,0.0
0.6822,0.482,0.262
0.9371,0.596,0.07
-0.3818,0.0,0.0
0.9001,0.815,0.0
0.8777,0.593,0.0
0.8357,0.5,0.0
0.6486,0.0,0.124
0.0,0.0,0.0
0.961,0.357,0.0
0.0,0.0,0.0
0.9118,0.727,0.0
0.5262,0.629,0.164
-0.4439,0.0,0.327
0.9517,0.817,0.0
0.9786,0.717,0.0
0.7178,0.226,0.122
0.5046,1.0,0.0
0.4754,0.607,0.0
-0.9692,0.292,0.181
0.9682,0.302,0.107
-0.079,0.615,0.191
0.5574,0.0,0.0
0.9888,0.445,0.309
-0.4973,0.0,0.182
0.0,0.0,0.0
-0.1027,0.0,0.0
0.8554,0.498,0.0
0.6894,0.214,0.0
0.3612,0.294,0.0
0.8402,0.293,0.0
-0.8108,0.0,0.189
0.2263,0.615,0.535
-0.4767,0.0,0.066
0.8902,0.266,0.0
0.9001,0.402,0.0
0.9349,0.565,0.0
0.872,0.732,0.0
-0.3182,0.188,0.091
0.9563,0.444,0.043
-0.0258,0.0,0.047
0.8316,0.663,0.0
0.7089,0.649,0.0
0.0,0.0,0.0
0.9611,0.302,0.0
-0.7096,0.0,0.145
0.8016,0.643,0.0
0.9268,0.601,0.053
-0.0772,0.0,0.0
0.9284,0.321,0.0
0.0,0.0,0.0
0.8723,0.562,0.0
0.0,0.0,0.0
-0.8687,0.0,0.583
0.7574,0.096,0.0
0.4767,0.0,0.0
0.1139,0.289,0.256
-0.5932,0.243,0.099
0.6121,0.615,0.125
0.981,0.521,0.021
-0.6465,0.0,0.185
0.8658,0.297,0.0
0.908,0.438,0.043
0.8779,0.448,0.0
0.6486,0.524,0.303
0.0,0.649,0.0
-0.5719,0.0,0.0
0.6369,0.135,0.0
0.8221,0.487,0.0
0.8126,0.422,0.0
0.9588,0.301,0.0
0.8979,0.792,0.0
0.9081,0.543,0.256
0.8849,0.587,0.0
0.7713,0.184,0.039
-0.0476,0.444,0.105
0.9707,0.204,0.071
0.4019,0.0,0.0
0.9816,0.571,0.0
0.6369,0.244,0.0
0.7669,0.624,0.128
-0.8074,0.0,0.293
0.7269,0.664,0.257
-0.5719,0.552,0.296
0.7827,0.543,0.111
0.9581,0.326,0.274
0.9844,0.491,0.0
0.9711,0.317,0.124
0.8051,0.708,0.0
0.8172,0.796,0.173
0.7579,0.592,0.0
0.0,0.0,0.0
0.9145,0.471,0.0
0.8425,0.323,0.0
0.93,0.438,0.0
0.5719,0.252,0.0
0.8096,0.384,0.0
0.9571,0.363,0.0
0.8126,0.213,0.0
0.9892,0.265,0.0
0.0,0.0,0.0
0.5413,0.777,0.0
0.9118,0.409,0.0
0.899,0.654,0.054
0.6369,0.412,0.0
0.5719,0.787,0.0
0.8883,0.256,0.0
0.883,0.407,0.0
-0.6901,0.0,0.1
0.7845,0.716,0.0
0.7269,0.391,0.039
-0.3402,0.557,0.177
0.9325,0.452,0.0
0.9429,0.341,0.0
0.88,0.35,0.146
-0.7579,0.0,0.177
0.7339,0.737,0.141
-0.0258,0.326,0.136
0.9169,0.302,0.0
-0.7751,0.31,0.446
0.9373,0.725,0.0
0.6979,0.372,0.098
0.8689,0.33,0.0
0.8506,0.583,0.341
0.8807,0.174,0.0
0.9612,0.598,0.0
0.9071,0.534,0.0
0.7184,0.545,0.0
0.8612,0.38,0.509
0.9615,0.553,0.0
-0.7415,0.0,0.201
0.4183,0.658,0.284
0.5759,0.527,0.146
0.7579,0.371,0.0
0.4556,0.0,0.087
0.8555,0.524,0.0
0.5709,0.316,0.0
0.7288,0.288,0.37
0.0,0.0,0.0
-0.0258,0.0,0.032
0.4201,0.306,0.095
0.0,0.0,0.0
-0.802,0.0,0.538
0.965,0.454,0.0
0.908,0.227,0.0
0.6997,0.636,0.042
0.4019,0.0,0.0
0.7893,0.666,0.0
0.0,0.0,0.0
0.7409,0.651,0.374
0.9297,0.254,0.0
0.5106,0.0,0.0
0.0,0.0,0.0
0.624,0.185,0.067
0.9432,0.488,0.0
-0.5719,0.0,0.0
0.7579,0.326,0.0
-0.8762,0.0,0.0
0.8016,0.507,0.0
0.5965,0.0,0.0
-0.5719,0.0,0.0
0.978,0.523,0.0
0.7579,0.7,0.067
0.4754,0.508,0.0
-0.2023,0.049,0.302
-0.25,0.188,0.175
0.9673,0.682,0.0
0.9697,0.356,0.0
0.7574,0.375,0.0
0.5719,0.787,0.0
0.3384,0.74,0.462
0.0,0.5,0.0
0.2382,0.406,0.052
0.8834,0.72,0.0
0.34,0.406,0.124
0.4404,0.293,0.0
0.5423,0.487,0.121
0.8074,0.649,0.0
0.228,0.592,0.666
-0.2732,0.0,0.0
0.9359,0.545,0.09
-0.7508,0.0,0.311
0.4939,0.217,0.182
0.8402,0.19,0.315
0.6769,0.042,0.0
-0.3291,0.0,0.0
-0.5719,0.0,0.0
-0.4404,0.0,0.244
0.0,0.0,0.0
-0.5867,0.0,0.135
0.0,0.0,0.0
0.4208,0.77,0.124
-0.6697,0.0,0.129
0.8891,0.373,0.06
0.9747,0.273,0.0
-0.4939,0.0,0.036
0.9501,0.485,0.0
-0.7783,0.0,0.508
0.2771,0.504,0.134
-0.5859,0.0,0.179
0.8979,0.3,0.0
0.6249,0.506,0.0
-0.1779,0.0,0.0
-0.875,0.247,0.357
0.6954,0.262,0.0
-0.7212,0.0,0.226
0.0,0.0,0.0
-0.1027,0.0,0.049
0.6249,0.441,0.0
-0.25,0.0,0.0
0.5719,0.381,0.0
0.6601,0.634,0.315
0.6997,0.362,0.378
0.5859,0.655,0.0
0.5994,0.626,0.0
0.5719,0.316,0.0
0.9113,0.308,0.109
0.7947,0.313,0.0
0.5994,0.358,0.0
0.6978,0.394,0.085
0.8271,0.794,0.0
0.9781,0.527,0.0
0.7939,0.347,0.0
0.4404,0.13,0.0
0.8425,0.564,0.0
0.8873,0.483,0.149
0.941,0.685,0.0
-0.7096,0.0,0.688
0.8658,0.767,0.0
0.9299,0.174,0.0
0.8402,0.52,0.0
0.9022,0.309,0.11
0.0,0.0,0.0
0.9779,0.598,0.0
0.926,0.68,0.162
0.7985,0.237,0.261
0.7137,0.28,0.0
0.2247,0.306,0.099
0.5994,0.29,0.0
-0.6771,0.0,0.57
0.4215,0.0,0.11
0.8126,0.787,0.0
0.6956,0.471,0.05
-0.7274,0.0,0.286
0.977,0.284,0.0
0.5719,0.649,0.0
0.3338,0.317,0.153
0.0,0.0,0.0
0.8687,0.412,0.0
0.296,0.0,0.0
0.7184,0.744,0.057
0.8074,0.425,0.0
0.6908,0.74,0.0
0.8532,0.494,0.272
0.2263,0.655,0.0
0.7615,0.762,0.0
-0.7096,0.0,0.104
0.9407,0.165,0.0
0.4215,0.737,0.0
-0.5021,0.345,0.188
0.836,0.664,0.0
0.8625,0.645,0.624
0.9506,0.472,0.0
0.9485,0.535,0.0
0.9766,0.468,0.0
0.9112,0.303,0.0
0.7527,0.338,0.249
0.9641,0.428,0.0
0.5346,0.072,0.0
0.8122,0.677,0.0
0.9195,0.45,0.0
0.9451,0.276,0.0
0.2292,0.219,0.1
-0.902,0.0,0.11
0.4215,0.737,0.0
-0.4404,0.0,0.367
0.8942,0.328,0.0
-0.4939,0.0,0.066
0.7178,0.5,0.0
0.8505,0.367,0.0
0.1531,0.0,0.0
-0.7359,0.0,0.159
0.0,0.0,0.0
-0.5719,0.0,0.0
-0.1154,0.0,0.089
-0.5719,0.0,0.0
0.0,0.545,0.0
0.8952,0.429,0.081
0.9652,0.157,0.085
0.8834,0.837,0.0
-0.5719,0.0,0.0
0.4754,0.607,0.0
0.5348,0.555,0.206
0.9052,0.32,0.0
0.6249,0.508,0.08
0.6249,0.59,0.0
0.9823,0.427,0.162
0.875,0.478,0.0
0.5719,0.346,0.0
0.0,0.0,0.0
0.765,0.649,0.0
0.6155,0.482,0.17
0.8378,0.185,0.0
0.7964,0.672,0.0
0.5736,0.231,0.444
0.9656,0.559,0.0
0.4404,0.744,0.0
0.7845,0.496,0.0
0.9001,0.289,0.0
0.8702,0.416,0.0
0.0,0.0,0.0
0.8055,0.476,0.0
0.0,0.0,0.0
0.8271,0.545,0.069
0.836,0.725,0.0
0.9371,0.643,0.0
-0.0644,0.787,0.075
0.0,0.0,0.0
0.6249,0.672,0.0
-0.2315,0.0,0.0
0.7425,0.557,0.0
0.9595,0.745,0.0
-0.015,1.0,0.53
0.5413,0.636,0.0
0.8074,0.318,0.0
-0.8979,0.0,0.135
0.9371,0.371,0.0
0.489,0.611,0.193
0.9385,0.599,0.328
0.8591,0.905,0.0
0.6249,0.672,0.0
-0.4118,0.0,0.122
0.3182,0.0,0.0
0.9569,0.258,0.385
0.4019,0.092,0.385
0.3111,0.147,0.115
0.9563,0.155,0.0
0.8588,0.196,0.309
-0.296,0.0,0.0
0.5945,0.0,0.0
0.7526,0.51,0.0
0.9667,0.543,0.0
0.8625,0.541,0.0
-0.8195,0.142,0.289
0.25,0.444,0.306
0.9711,0.236,0.0
0.9274,0.4,0.0
0.7089,0.143,0.0
0.9957,0.306,0.0
0.8822,0.719,0.0
-0.5719,0.0,0.0
-0.25,0.0,0.076
0.9969,0.307,0.0
0.8807,0.623,0.0
0.8064,0.42,0.063
0.5719,0.381,0.0
-0.7147,0.0,0.117
0.9353,0.503,0.0
0.0,0.0,0.0
0.891,0.778,0.0
0.8176,0.328,0.0
0.9544,0.337,0.385
0.7894,0.292,0.333
0.6652,0.0,0.0
0.9621,0.343,0.08
0.6124,0.667,0.0
0.8928,0.386,0.268
0.7096,0.0,0.0
0.6369,0.457,0.0
0.9355,0.432,0.0
0.8126,0.432,0.0
0.5719,0.649,0.0
0.9488,0.393,0.0
-0.8386,0.0,0.18
0.9093,0.316,0.0
0.5568,0.091,0.0
0.0,0.0,0.0
-0.0951,0.0,0.107
0.8729,0.611,0.0
0.5719,0.198,0.0
0.5492,0.312,0.194
0.9455,0.314,0.094
0.5859,0.257,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.8323,0.0,0.243
0.7579,0.326,0.0
0.7028,0.18,0.106
0.9922,0.301,0.0
-0.7943,0.0,0.172
0.1531,0.286,0.302
0.7579,0.765,0.0
0.9672,0.569,0.0
0.9577,0.271,0.113
0.4215,0.185,0.0
-0.714,0.0,0.159
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.8885,0.42,0.0
0.9272,0.227,0.134
-0.6881,0.412,0.335
0.5574,0.0,0.0
-0.9038,0.0,0.177
0.5245,0.308,0.156
0.8655,0.432,0.0
0.4927,0.516,0.0
0.0,0.0,0.0
-0.0772,0.0,0.115
0.9427,0.42,0.087
0.0,0.0,0.0
0.9442,0.676,0.0
-0.8173,0.0,0.256
0.7501,0.348,0.0
0.7964,0.419,0.0
0.0,0.0,0.0
0.8176,0.796,0.0
0.7635,0.438,0.18
0.4215,0.846,0.0
-0.7184,0.39,0.26
-0.1779,0.0,0.091
-0.5719,0.0,0.0
0.3612,0.238,0.0
0.8316,0.32,0.159
-0.1796,0.0,0.0
0.8519,0.508,0.0
-0.1102,0.37,0.217
0.8822,0.672,0.0
0.1154,0.0,0.164
0.9625,0.329,0.046
0.2263,0.0,0.06
0.7964,0.581,0.302
0.6956,0.135,0.0
0.983,0.45,0.0
0.8667,0.606,0.313
-0.0453,0.0,0.144
0.9181,0.645,0.0
-0.6597,0.0,0.254
0.7506,0.056,0.0
0.875,0.441,0.167
0.5106,0.379,0.087
0.4404,0.592,0.0
0.204,0.512,0.352
0.981,0.329,0.0
0.7184,0.75,0.0
0.5574,0.0,0.0
0.6249,0.804,0.0
0.9834,0.19,0.051
-0.9199,0.0,0.385
0.9931,0.361,0.0
0.946,0.745,0.0
0.9451,0.677,0.0
0.6901,0.473,0.0
0.8357,0.747,0.0
-0.2732,0.0,0.139
0.7239,0.0,0.0
-0.1779,0.0,0.175
0.9246,0.29,0.0
0.9141,0.416,0.0
0.926,0.2,0.0
0.6486,0.225,0.1
0.0,0.0,0.0
0.9628,0.343,0.0
0.4215,0.483,0.0
0.9041,0.52,0.0
0.9635,0.304,0.0
0.9041,0.412,0.0
0.5574,0.0,0.0
0.8689,0.574,0.0
0.8942,0.121,0.05
0.7063,0.326,0.051
0.4336,0.556,0.531
0.4767,0.286,0.0
0.9383,0.425,0.315
0.34,0.231,0.0
-0.7717,0.0,0.429
0.921,0.444,0.136
-0.0,0.504,0.154
0.8663,0.357,0.0
0.9623,0.322,0.0
0.0,0.0,0.0
0.9065,0.33,0.0
0.8947,0.521,0.065
-0.5719,0.0,0.0
0.8858,0.576,0.0
0.8155,0.375,0.0
0.8251,0.345,0.18
0.8979,0.646,0.0
0.813,0.789,0.202
0.9598,0.465,0.136
0.1779,0.293,0.196
0.9577,0.587,0.0
0.3003,0.491,0.172
0.743,0.162,0.0
0.3804,0.565,0.0
0.9764,0.43,0.0
0.9719,0.306,0.0
0.7178,0.59,0.136
0.8237,0.42,0.116
0.9743,0.066,0.0
0.296,0.0,0.0
0.9571,0.543,0.136
0.0754,0.492,0.271
0.9514,0.435,0.159
0.944,0.224,0.149
0.9536,0.418,0.0
0.7902,0.36,0.146
0.8849,0.485,0.0
0.0,0.0,0.0
0.1531,0.649,0.279
-0.6711,0.0,0.508
0.836,0.737,0.0
0.2846,0.597,0.064
0.3194,0.347,0.249
0.0,0.0,0.0
0.8484,0.201,0.0
0.8979,0.362,0.122
0.1531,0.451,0.368
0.8162,0.473,0.0
0.9313,0.507,0.0
-0.8779,0.0,0.762
0.8779,0.419,0.0
0.854,0.473,0.179
-0.9349,0.0,0.264
0.979,0.206,0.71
0.5059,0.196,0.0
0.807,0.646,0.0
0.8625,0.6,0.0
0.0,0.0,0.0
0.7184,0.5,0.0
0.0,0.672,0.0
0.0,0.0,0.0
0.959,0.488,0.0
0.0,0.0,0.0
-0.3291,0.0,0.0
