,reg_1,reg_2
81,Sonoma County,Sonoma
82,Napa Valley,Napa
83,Santa Maria Valley,Central Coast
84,Dundee Hills,Willamette Valley
85,Arroyo Grande Valley,Central Coast
86,Napa Valley,Napa
87,Paso Robles,Central Coast
88,Napa Valley,Napa
89,Napa Valley,Napa
90,Columbia Valley (WA),Columbia Valley
91,Napa Valley,Napa
92,Napa Valley,Napa
93,Knights Valley,Sonoma
94,Dry Creek Valley,Sonoma
95,Russian River Valley,Sonoma
96,Russian River Valley,Sonoma
97,Diamond Mountain District,Napa
98,Dundee Hills,Willamette Valley
99,Sonoma Valley,Sonoma
100,Rutherford,Napa
101,Russian River Valley,Sonoma
102,Alexander Valley,Sonoma
103,Edna Valley,Central Coast
104,Santa Ynez Valley,Central Coast
105,California,California Other
106,California,California Other
107,Santa Barbara County,Central Coast
108,California,California Other
109,Columbia Valley (WA),Columbia Valley
110,Walla Walla Valley (WA),Columbia Valley
111,California,California Other
112,New York,New York Other
113,North Fork of Long Island,Long Island
114,Wahluke Slope,Columbia Valley
115,Santa Ynez Valley,Central Coast
116,Templeton Gap District,Central Coast
117,Snipes Mountain,Columbia Valley
118,Santa Barbara County,Central Coast
119,Alexander Valley,Sonoma
120,Walla Walla Valley (WA),Columbia Valley
121,Sonoma Valley,Sonoma
122,Paso Robles,Central Coast
123,Carneros,Napa-Sonoma
124,Santa Maria Valley,Central Coast
125,Ribbon Ridge,Willamette Valley
126,Dundee Hills,Willamette Valley
127,Rutherford,Napa
128,Napa Valley,Napa
129,Red Mountain,Columbia Valley
130,Sta. Rita Hills,Central Coast
131,Sonoma County,Sonoma
132,Walla Walla Valley (WA),Columbia Valley
133,Red Mountain,Columbia Valley
134,El Dorado,Sierra Foothills
135,Suisun Valley,North Coast
136,Carneros,Napa-Sonoma
137,Lodi,Central Valley
138,Russian River Valley,Sonoma
139,Wahluke Slope,Columbia Valley
140,Yakima Valley,Columbia Valley
141,Napa Valley,Napa
142,Monterey County,Central Coast
143,Chiles Valley,Napa
144,Sonoma Coast,Sonoma
145,Russian River Valley,Sonoma
146,Russian River Valley,Sonoma
147,Calaveras County,Sierra Foothills
148,Edna Valley,Central Coast
149,Edna Valley,Central Coast
150,Chehalem Mountains,Willamette Valley
151,Horse Heaven Hills,Columbia Valley
152,Arroyo Grande Valley,Central Coast
153,Dundee Hills,Willamette Valley
154,Russian River Valley,Sonoma
155,Oregon,Oregon Other
156,Paso Robles,Central Coast
157,Walla Walla Valley (WA),Columbia Valley
158,Napa Valley,Napa
159,Umpqua Valley,Southern Oregon
160,Edna Valley,Central Coast
161,Santa Maria Valley,Central Coast
162,Santa Maria Valley,Central Coast
163,Napa Valley,Napa
164,Templeton Gap District,Central Coast
165,Napa Valley,Napa
166,Sonoma Coast,Sonoma
167,Ballard Canyon,Central Coast
168,Green Valley,Sonoma
169,Carneros,Napa-Sonoma
170,Sonoma Valley,Sonoma
171,Horse Heaven Hills,Columbia Valley
172,Santa Maria Valley,Central Coast
173,Russian River Valley,Sonoma
174,Russian River Valley,Sonoma
175,Sonoma Coast,Sonoma
176,Napa Valley,Napa
177,Sta. Rita Hills,Central Coast
178,Paso Robles,Central Coast
179,Napa Valley,Napa
180,Howell Mountain,Napa
181,Columbia Valley (WA),Columbia Valley
182,Yakima Valley,Columbia Valley
183,Yolo County,Central Valley
184,California,California Other
185,Washington,Washington Other
186,Columbia Gorge (WA),Washington Other
187,Wahluke Slope,Columbia Valley
188,Santa Cruz Mountains,Central Coast
189,Yakima Valley,Columbia Valley
190,Paso Robles,Central Coast
191,Walla Walla Valley (WA),Columbia Valley
192,Columbia Valley (WA),Columbia Valley
193,Paso Robles,Central Coast
194,Alexander Valley,Sonoma
195,Oak Knoll District,Napa
196,North Fork of Long Island,Long Island
197,Rogue Valley,Southern Oregon
198,Rogue Valley,Southern Oregon
199,Chehalem Mountains,Willamette Valley
200,Northern Sonoma,Sonoma
201,Carneros,Napa-Sonoma
202,Paso Robles,Central Coast
203,Russian River Valley,Sonoma
204,Calistoga,Napa
205,Edna Valley,Central Coast
206,Russian River Valley,Sonoma
207,Dry Creek Valley,Sonoma
208,Santa Maria Valley,Central Coast
209,California,California Other
210,Sonoma Coast,Sonoma
211,Paso Robles,Central Coast
212,Napa Valley,Napa
213,Arroyo Seco,Central Coast
214,Mokelumne River,Central Valley
215,Dundee Hills,Willamette Valley
216,Los Carneros,Napa-Sonoma
217,Walla Walla Valley (WA),Columbia Valley
218,Mount Veeder,Napa
219,Rockpile,Sonoma
220,Columbia Valley (WA),Columbia Valley
221,North Fork of Long Island,Long Island
222,Walla Walla Valley (WA),Columbia Valley
223,Columbia Valley (WA),Columbia Valley
224,Napa Valley,Napa
225,Carneros,Napa-Sonoma
226,Carneros,Napa-Sonoma
227,Yakima Valley,Columbia Valley
228,Columbia Valley (WA),Columbia Valley
229,Columbia Valley (WA),Columbia Valley
230,Horse Heaven Hills,Columbia Valley
231,Sonoma Coast,Sonoma
232,Santa Cruz Mountains,Central Coast
233,Red Mountain,Columbia Valley
234,Santa Barbara County,Central Coast
235,Livermore Valley,Central Coast
236,Sonoma County,Sonoma
237,Columbia Valley (WA),Columbia Valley
238,Dry Creek Valley,Sonoma
239,Russian River Valley,Sonoma
240,Russian River Valley,Sonoma
241,Russian River Valley,Sonoma
242,Oregon,Oregon Other
243,California,California Other
244,Paso Robles,Central Coast
245,Dry Creek Valley,Sonoma
246,Sonoma Coast,Sonoma
247,Sonoma Coast,Sonoma
248,Edna Valley,Central Coast
249,Napa Valley,Napa
250,Santa Maria Valley,Central Coast
251,Sonoma Coast,Sonoma
252,Temecula Valley,South Coast
253,Dry Creek Valley,Sonoma
254,Napa Valley,Napa
255,Green Valley,Sonoma
256,Dundee Hills,Willamette Valley
257,Arroyo Grande Valley,Central Coast
258,Alexander Valley,Sonoma
259,Rutherford,Napa
260,Columbia Valley (WA),Columbia Valley
261,Chehalem Mountains,Willamette Valley
262,Yakima Valley,Columbia Valley
263,Santa Ynez Valley,Central Coast
264,Santa Ynez Valley,Central Coast
265,Sonoma Valley,Sonoma
266,Red Mountain,Columbia Valley
267,Ancient Lakes,Columbia Valley
268,Oregon,Oregon Other
269,Rutherford,Napa
270,Wahluke Slope,Columbia Valley
271,Paso Robles,Central Coast
272,California,California Other
273,Columbia Valley (WA),Columbia Valley
274,Walla Walla Valley (WA),Columbia Valley
275,California,California Other
276,Columbia Valley (WA),Columbia Valley
277,Amador County,Sierra Foothills
278,Edna Valley,Central Coast
279,Santa Barbara County,Central Coast
280,Oregon,Oregon Other
281,Spring Mountain District,Napa
282,Temecula Valley,South Coast
283,Sta. Rita Hills,Central Coast
284,Chehalem Mountains,Willamette Valley
285,Ballard Canyon,Central Coast
286,Napa Valley,Napa
287,Oregon,Oregon Other
288,Los Carneros,Napa-Sonoma
289,Napa Valley,Napa
290,Russian River Valley,Sonoma
291,Dry Creek Valley,Sonoma
292,Yakima Valley,Columbia Valley
293,Sta. Rita Hills,Central Coast
294,Napa Valley,Napa
295,Santa Maria Valley,Central Coast
296,Columbia Valley (WA),Columbia Valley
297,Temecula Valley,South Coast
298,Columbia Valley (WA),Columbia Valley
299,Shenandoah Valley (CA),Sierra Foothills
300,Amador County,Sierra Foothills
301,Dundee Hills,Willamette Valley
302,Livermore Valley,Central Coast
303,Russian River Valley,Sonoma
304,Rogue Valley,Southern Oregon
305,Sonoma County,Sonoma
306,Rutherford,Napa
307,Los Carneros,Napa-Sonoma
308,Yorkville Highlands,North Coast
309,Lodi,Central Valley
310,Russian River Valley,Sonoma
311,California,California Other
312,Clarksburg,Central Valley
313,Alexander Valley,Sonoma
314,Walla Walla Valley (WA),Columbia Valley
315,California,California Other
316,Suisun Valley,North Coast
317,Oregon,Oregon Other
318,California,California Other
319,Dundee Hills,Willamette Valley
320,Rogue Valley,Southern Oregon
321,Eola-Amity Hills,Willamette Valley
322,Dundee Hills,Willamette Valley
323,Paso Robles,Central Coast
324,Temecula Valley,South Coast
325,Napa Valley,Napa
326,Happy Canyon of Santa Barbara,Central Coast
327,Oregon,Oregon Other
328,Rogue Valley,Southern Oregon
329,Carneros,Napa-Sonoma
330,Arroyo Seco,Central Coast
331,Walla Walla Valley (OR),Oregon Other
332,Napa Valley,Napa
333,California,California Other
334,California,California Other
335,Amador County,Sierra Foothills
336,Sonoma Coast,Sonoma
337,Dundee Hills,Willamette Valley
338,Carneros,Napa-Sonoma
339,Ribbon Ridge,Willamette Valley
340,Dundee Hills,Willamette Valley
341,Walla Walla Valley (OR),Oregon Other
342,Diamond Mountain District,Napa
343,Rutherford,Napa
344,Sonoma Coast,Sonoma
345,Walla Walla Valley (OR),Oregon Other
346,Napa Valley,Napa
347,Sonoma Coast,Sonoma
348,Chehalem Mountains,Willamette Valley
349,Eola-Amity Hills,Willamette Valley
350,Napa Valley,Napa
351,Yakima Valley,Columbia Valley
352,Napa Valley,Napa
353,Paso Robles,Central Coast
354,Sonoma Coast,Sonoma
355,Yakima Valley,Columbia Valley
356,Yakima Valley,Columbia Valley
357,Yolo County,Central Valley
358,Horse Heaven Hills,Columbia Valley
359,California,California Other
360,Paso Robles,Central Coast
361,Seneca Lake,Finger Lakes
362,Naches Heights,Columbia Valley
363,Naches Heights,Columbia Valley
364,Sonoma Mountain,Sonoma
365,Napa Valley,Napa
366,Napa Valley,Napa
367,Napa Valley,Napa
368,Hudson River Region,New York Other
369,Lodi,Central Valley
370,Napa Valley,Napa
371,Columbia Valley (WA),Columbia Valley
372,New York,New York Other
373,Columbia Valley (WA),Columbia Valley
374,Sonoma Valley,Sonoma
375,Columbia Valley (WA),Columbia Valley
376,Sonoma Coast,Sonoma
377,Russian River Valley,Sonoma
378,California,California Other
379,California,California Other
380,Alexander Valley,Sonoma
381,Yountville,Napa
382,Santa Maria Valley,Central Coast
383,Sta. Rita Hills,Central Coast
384,Bennett Valley,Sonoma
385,Paso Robles Willow Creek District,Central Coast
386,Santa Barbara County,Central Coast
387,Sta. Rita Hills,Central Coast
388,Ballard Canyon,Central Coast
389,Green Valley,Sonoma
390,Suisun Valley,North Coast
391,Russian River Valley,Sonoma
392,Santa Maria Valley,Central Coast
393,Sta. Rita Hills,Central Coast
394,Sta. Rita Hills,Central Coast
395,Monterey,Central Coast
396,Alexander Valley,Sonoma
397,Russian River Valley,Sonoma
398,Santa Maria Valley,Central Coast
399,Santa Maria Valley,Central Coast
400,Columbia Valley (WA),Columbia Valley
401,Napa Valley,Napa
402,Rutherford,Napa
403,Columbia Valley (WA),Columbia Valley
404,Columbia Valley (WA),Columbia Valley
405,Washington,Washington Other
406,Columbia Valley (WA),Columbia Valley
407,Napa Valley,Napa
408,Contra Costa County,Central Coast
409,Cayuga Lake,Finger Lakes
410,Russian River Valley,Sonoma
411,California,California Other
412,Napa Valley,Napa
413,Lodi,Central Valley
414,Russian River Valley,Sonoma
415,Napa Valley,Napa
416,Sonoma Valley,Sonoma
417,Sonoma Valley,Sonoma
418,New York,New York Other
419,Sonoma County,Sonoma
420,Stags Leap District,Napa
421,Santa Barbara County,Central Coast
422,Fair Play,Sierra Foothills
423,Santa Barbara County,Central Coast
424,Dundee Hills,Willamette Valley
425,Sonoma Valley,Sonoma
426,Paso Robles,Central Coast
427,Alexander Valley,Sonoma
428,Napa Valley,Napa
429,Russian River Valley,Sonoma
430,Russian River Valley,Sonoma
431,Sta. Rita Hills,Central Coast
432,Paso Robles,Central Coast
433,Sta. Rita Hills,Central Coast
434,Russian River Valley,Sonoma
435,Russian River Valley,Sonoma
436,Sonoma Valley,Sonoma
437,Paso Robles,Central Coast
438,Rogue Valley,Southern Oregon
439,Washington,Washington Other
440,California,California Other
441,Columbia Valley (WA),Columbia Valley
442,Russian River Valley,Sonoma
443,Paso Robles,Central Coast
444,Sta. Rita Hills,Central Coast
445,El Dorado,Sierra Foothills
446,Amador County,Sierra Foothills
447,Columbia Valley (WA),Columbia Valley
448,Shenandoah Valley (CA),Sierra Foothills
449,Lodi,Central Valley
450,Russian River Valley,Sonoma
451,Santa Cruz Mountains,Central Coast
452,Santa Ynez Valley,Central Coast
453,Carneros,Napa-Sonoma
454,Dry Creek Valley,Sonoma
455,Dunnigan Hills,Central Valley
456,Mount Veeder,Napa
457,California,California Other
458,Dry Creek Valley,Sonoma
459,Columbia Valley (WA),Columbia Valley
460,Red Mountain,Columbia Valley
461,Columbia Valley (WA),Columbia Valley
462,Napa Valley,Napa
463,Columbia Valley (WA),Columbia Valley
464,Coombsville,Napa
465,Horse Heaven Hills,Columbia Valley
466,Napa Valley,Napa
467,Columbia Valley (WA),Columbia Valley
468,Columbia Valley (WA),Columbia Valley
469,Columbia Valley (WA),Columbia Valley
470,Red Mountain,Columbia Valley
471,Alexander Valley,Sonoma
472,Paso Robles,Central Coast
473,Napa Valley,Napa
474,Sonoma County,Sonoma
475,Paso Robles,Central Coast
476,Rutherford,Napa
477,Happy Canyon of Santa Barbara,Central Coast
478,St. Helena,Napa
479,Arroyo Seco,Central Coast
480,Napa Valley,Napa
481,Santa Maria Valley,Central Coast
482,Napa Valley,Napa
483,St. Helena,Napa
484,Edna Valley,Central Coast
485,Napa Valley,Napa
486,Columbia Valley (WA),Columbia Valley
487,California,California Other
488,Napa Valley,Napa
489,Carneros,Napa-Sonoma
490,Paso Robles,Central Coast
491,Mount Veeder,Napa
492,Santa Lucia Highlands,Central Coast
493,Russian River Valley,Sonoma
494,Eola-Amity Hills,Willamette Valley
495,Santa Ynez Valley,Central Coast
496,Chehalem Mountains,Willamette Valley
497,Napa Valley,Napa
498,Livermore Valley,Central Coast
499,California,California Other
500,California,California Other
501,Sonoma County,Sonoma
502,Russian River Valley,Sonoma
503,Columbia Valley (WA),Columbia Valley
504,Sonoma Coast,Sonoma
505,Columbia Valley (WA),Columbia Valley
506,Napa Valley,Napa
507,Russian River Valley,Sonoma
508,Oakville,Napa
509,Russian River Valley,Sonoma
510,Russian River Valley,Sonoma
511,Red Mountain,Columbia Valley
512,Sonoma Valley,Sonoma
513,Russian River Valley,Sonoma
514,Oakville,Napa
515,Columbia Valley (WA),Columbia Valley
516,California,California Other
517,Columbia Gorge (WA),Washington Other
518,Columbia Valley (WA),Columbia Valley
519,North Fork of Long Island,Long Island
520,Sonoma Coast,Sonoma
521,Columbia Valley (WA),Columbia Valley
522,Walla Walla Valley (WA),Columbia Valley
523,California,California Other
524,Napa Valley,Napa
525,California,California Other
526,California,California Other
527,Sonoma County,Sonoma
528,Rogue Valley,Southern Oregon
529,Umpqua Valley,Southern Oregon
530,California,California Other
531,California,California Other
532,Applegate Valley,Southern Oregon
533,Santa Ynez Valley,Central Coast
534,Santa Maria Valley,Central Coast
535,Santa Maria Valley,Central Coast
536,Livermore Valley,Central Coast
537,Umpqua Valley,Southern Oregon
538,Napa Valley,Napa
539,Edna Valley,Central Coast
540,Santa Maria Valley,Central Coast
541,Santa Barbara County,Central Coast
542,California,California Other
543,Sonoma County,Sonoma
544,San Benito County,Central Coast
545,Carneros,Napa-Sonoma
546,Lodi,Central Valley
547,New York,New York Other
548,San Luis Obispo County,Central Coast
549,Santa Cruz Mountains,Central Coast
550,Washington,Washington Other
551,Columbia Valley (WA),Columbia Valley
552,Walla Walla Valley (WA),Columbia Valley
553,Columbia Valley (WA),Columbia Valley
554,Monterey County,Central Coast
555,Arroyo Seco,Central Coast
556,Columbia Gorge (WA),Washington Other
557,Alexander Valley,Sonoma
558,Livermore Valley,Central Coast
559,Washington,Washington Other
560,Ancient Lakes,Columbia Valley
561,Cayuga Lake,Finger Lakes
562,Napa Valley,Napa
563,Seneca Lake,Finger Lakes
564,Ancient Lakes,Columbia Valley
565,California,California Other
566,Knights Valley,Sonoma
567,Columbia Valley (WA),Columbia Valley
568,Santa Lucia Highlands,Central Coast
569,San Luis Obispo County,Central Coast
570,Sonoma Coast,Sonoma
571,Santa Lucia Highlands,Central Coast
572,Walla Walla Valley (WA),Columbia Valley
573,Carneros,Napa-Sonoma
574,Russian River Valley,Sonoma
575,Red Mountain,Columbia Valley
576,California,California Other
577,Sonoma County,Sonoma
578,Napa Valley,Napa
579,Sonoma County,Sonoma
580,California,California Other
581,California,California Other
582,Napa Valley,Napa
583,Napa Valley,Napa
584,Alexander Valley,Sonoma
585,Lodi,Central Valley
586,Napa Valley,Napa
587,Rogue Valley,Southern Oregon
588,Napa Valley,Napa
589,Russian River Valley,Sonoma
590,Oregon,Oregon Other
591,Napa Valley,Napa
592,Wahluke Slope,Columbia Valley
593,Calaveras County,Sierra Foothills
594,Horse Heaven Hills,Columbia Valley
595,Yakima Valley,Columbia Valley
596,Sonoma-Napa,Napa-Sonoma
597,Columbia Valley (WA),Columbia Valley
598,Columbia Valley (WA),Columbia Valley
599,Carneros,Napa-Sonoma
600,Napa Valley,Napa
601,Columbia Valley (WA),Columbia Valley
602,Russian River Valley,Sonoma
603,Napa Valley,Napa
604,Alexander Valley,Sonoma
605,Paso Robles,Central Coast
606,Yakima Valley,Columbia Valley
607,Santa Barbara,Central Coast
608,Wahluke Slope,Columbia Valley
609,Happy Canyon of Santa Barbara,Central Coast
610,Walla Walla Valley (WA),Columbia Valley
611,Napa Valley,Napa
612,Columbia Valley (WA),Columbia Valley
613,Washington,Washington Other
614,Oakville,Napa
615,Santa Ynez Valley,Central Coast
616,Dry Creek Valley,Sonoma
617,Walla Walla Valley (WA),Columbia Valley
618,Arroyo Grande Valley,Central Coast
619,Columbia Valley (WA),Columbia Valley
620,Napa Valley,Napa
621,Walla Walla Valley (WA),Columbia Valley
622,Santa Maria Valley,Central Coast
623,Napa Valley,Napa
624,Carneros,Napa-Sonoma
625,Oakville,Napa
626,Applegate Valley,Southern Oregon
627,Dundee Hills,Willamette Valley
628,Santa Lucia Highlands,Central Coast
629,Santa Lucia Highlands,Central Coast
630,Carneros,Napa-Sonoma
631,Paso Robles,Central Coast
632,Russian River Valley,Sonoma
633,Oregon,Oregon Other
634,California,California Other
635,California,California Other
636,Russian River Valley,Sonoma
637,Santa Barbara County,Central Coast
638,Applegate Valley,Southern Oregon
639,Eola-Amity Hills,Willamette Valley
640,Russian River Valley,Sonoma
641,Alexander Valley,Sonoma
642,Paso Robles,Central Coast
643,Paso Robles,Central Coast
644,Rutherford,Napa
645,Rutherford,Napa
646,Napa Valley,Napa
647,Russian River Valley,Sonoma
648,Green Valley,Sonoma
649,Calaveras County,Sierra Foothills
650,Napa Valley,Napa
651,Walla Walla Valley (WA),Columbia Valley
652,Sonoma County,Sonoma
653,Sta. Rita Hills,Central Coast
654,Columbia Valley (WA),Columbia Valley
655,Washington,Washington Other
656,Russian River Valley,Sonoma
657,Sonoma Coast,Sonoma
658,Napa Valley,Napa
659,Calaveras County,Sierra Foothills
660,Sta. Rita Hills,Central Coast
661,Napa Valley,Napa
662,Dry Creek Valley,Sonoma
663,Walla Walla Valley (WA),Columbia Valley
664,Amador County,Sierra Foothills
665,San Luis Obispo County,Central Coast
666,Santa Maria Valley,Central Coast
667,El Dorado,Sierra Foothills
668,Livermore Valley,Central Coast
669,Columbia Valley (OR),Oregon Other
670,Santa Ynez Valley,Central Coast
671,Columbia Valley (WA),Columbia Valley
672,Horse Heaven Hills,Columbia Valley
673,Amador County,Sierra Foothills
674,North Fork of Long Island,Long Island
675,Paso Robles,Central Coast
676,California,California Other
677,Oak Knoll District,Napa
678,Red Mountain,Columbia Valley
679,Russian River Valley,Sonoma
680,Amador County,Sierra Foothills
681,Columbia Valley (WA),Columbia Valley
682,Rogue Valley,Southern Oregon
683,California,California Other
684,California,California Other
685,Yakima Valley,Columbia Valley
686,California,California Other
687,Dry Creek Valley,Sonoma
688,Russian River Valley,Sonoma
689,Columbia Valley (WA),Columbia Valley
690,Napa Valley,Napa
691,Russian River Valley,Sonoma
692,El Dorado,Sierra Foothills
693,Walla Walla Valley (WA),Columbia Valley
694,Clarksburg,Central Valley
695,North Fork of Long Island,Long Island
696,Santa Barbara County,Central Coast
697,Paso Robles,Central Coast
698,Paso Robles,Central Coast
699,Horse Heaven Hills,Columbia Valley
700,Dry Creek Valley,Sonoma
701,Yolo County,Central Valley
702,Santa Ynez Valley,Central Coast
703,Rutherford,Napa
704,Santa Cruz Mountains,Central Coast
705,Paso Robles,Central Coast
706,Columbia Valley (WA),Columbia Valley
707,Columbia Valley (WA),Columbia Valley
708,Paso Robles Willow Creek District,Central Coast
709,Napa Valley,Napa
710,Arroyo Seco,Central Coast
711,Alexander Valley,Sonoma
712,Monterey County,Central Coast
713,Santa Clara Valley,Central Coast
714,Santa Barbara County,Central Coast
715,Monterey County,Central Coast
716,Columbia Valley (WA),Columbia Valley
717,Sonoma Coast,Sonoma
718,Santa Maria Valley,Central Coast
719,Santa Lucia Highlands,Central Coast
720,Sta. Rita Hills,Central Coast
721,Sta. Rita Hills,Central Coast
722,Russian River Valley,Sonoma
723,Carneros,Napa-Sonoma
724,Napa Valley,Napa
725,Alexander Valley,Sonoma
726,Napa Valley,Napa
727,Napa Valley,Napa
728,Sonoma Valley,Sonoma
729,San Luis Obispo County,Central Coast
730,Dry Creek Valley,Sonoma
731,Sonoma County,Sonoma
732,Alexander Valley,Sonoma
733,Sonoma County,Sonoma
734,Sonoma County,Sonoma
735,Napa Valley,Napa
736,Umpqua Valley,Southern Oregon
737,Napa Valley,Napa
738,Santa Clara Valley,Central Coast
739,California,California Other
740,Russian River Valley,Sonoma
741,Horse Heaven Hills,Columbia Valley
742,Howell Mountain,Napa
743,Columbia Valley (WA),Columbia Valley
744,Mount Veeder,Napa
745,Napa Valley,Napa
746,Rutherford,Napa
747,California,California Other
748,Washington,Washington Other
749,California,California Other
750,California,California Other
751,Seneca Lake,Finger Lakes
752,Washington,Washington Other
753,Russian River Valley,Sonoma
754,California,California Other
755,Columbia Valley (WA),Columbia Valley
756,Lake Erie,Finger Lakes
757,California,California Other
758,California,California Other
759,Horse Heaven Hills,Columbia Valley
760,Sonoma County-Napa County,Napa-Sonoma
761,Sonoma County,Sonoma
762,Sonoma Valley,Sonoma
763,Contra Costa County,Central Coast
764,Santa Barbara County,Central Coast
765,Mount Veeder,Napa
766,Columbia Valley (WA),Columbia Valley
767,Columbia Valley (WA),Columbia Valley
768,Columbia Valley (WA),Columbia Valley
769,Columbia Valley (WA),Columbia Valley
770,Yakima Valley,Columbia Valley
771,Amador County,Sierra Foothills
772,Chehalem Mountains,Willamette Valley
773,Eola-Amity Hills,Willamette Valley
774,Rogue Valley,Southern Oregon
775,Russian River Valley,Sonoma
776,Sonoma County,Sonoma
777,Paso Robles,Central Coast
778,Sonoma Valley,Sonoma
779,Sonoma County,Sonoma
780,Dundee Hills,Willamette Valley
781,Sonoma Mountain,Sonoma
782,Chehalem Mountains,Willamette Valley
783,Chehalem Mountains,Willamette Valley
784,California,California Other
785,Carneros,Napa-Sonoma
786,Arroyo Seco,Central Coast
787,Napa Valley,Napa
788,Dundee Hills,Willamette Valley
789,Sonoma County,Sonoma
790,Sonoma County,Sonoma
791,Alexander Valley,Sonoma
792,Paso Robles,Central Coast
793,Columbia Valley (WA),Columbia Valley
794,Yakima Valley,Columbia Valley
795,Horse Heaven Hills,Columbia Valley
796,California,California Other
797,Chalk Hill,Sonoma
798,Lodi,Central Valley
799,New York,New York Other
800,California,California Other
801,Paso Robles,Central Coast
802,Livermore Valley,Central Coast
803,Arroyo Seco,Central Coast
804,Napa Valley,Napa
805,Santa Ynez Valley,Central Coast
806,Sonoma Mountain,Sonoma
807,Paso Robles,Central Coast
808,Columbia Valley (WA),Columbia Valley
809,Yakima Valley,Columbia Valley
810,Yakima Valley,Columbia Valley
811,Columbia Valley (WA),Columbia Valley
812,Columbia Valley (WA),Columbia Valley
813,Wahluke Slope,Columbia Valley
814,Santa Barbara County,Central Coast
815,Napa Valley,Napa
816,Paso Robles,Central Coast
817,Columbia Valley (WA),Columbia Valley
818,Napa Valley,Napa
819,Santa Ynez Valley,Central Coast
820,Paso Robles,Central Coast
821,Russian River Valley,Sonoma
822,Russian River Valley,Sonoma
823,Sonoma County,Sonoma
824,Napa Valley,Napa
825,Monterey,Central Coast
826,Santa Barbara County,Central Coast
827,Napa Valley,Napa
828,Santa Cruz Mountains,Central Coast
829,Paso Robles,Central Coast
830,California,California Other
831,Spring Mountain District,Napa
832,Yountville,Napa
833,Sta. Rita Hills,Central Coast
834,Santa Clara Valley,Central Coast
835,Livermore Valley,Central Coast
836,Napa Valley,Napa
837,Paso Robles,Central Coast
838,Paso Robles,Central Coast
839,Edna Valley,Central Coast
840,Red Mountain,Columbia Valley
841,Columbia Valley (WA),Columbia Valley
842,Columbia Valley (WA),Columbia Valley
843,Columbia Valley (WA),Columbia Valley
844,Horse Heaven Hills,Columbia Valley
845,Walla Walla Valley (WA),Columbia Valley
846,Walla Walla Valley (WA),Columbia Valley
847,Santa Cruz Mountains,Central Coast
848,Columbia Valley (WA),Columbia Valley
849,Horse Heaven Hills,Columbia Valley
850,Walla Walla Valley (WA),Columbia Valley
851,Yakima Valley,Columbia Valley
852,Yakima Valley,Columbia Valley
853,Walla Walla Valley (WA),Columbia Valley
854,Snipes Mountain,Columbia Valley
855,Carneros,Napa-Sonoma
856,Columbia Valley (WA),Columbia Valley
857,Columbia Valley (WA),Columbia Valley
